Categoría,Sub-Categoría,Autor,Cantidad de Hojas,Color,Contenido,Marca,Temática,Tipo de Producto,Variedad
,,Lyna,,,,PRH,,Etiquetas Adhesivas,
,,Lyna y Daniel,,,,QUUZ,,Fertilizante,
,,"Mafi, Tahereh",,,,QUZZ,,Fertilizantes,
,,"Marcus, Joana",,,,RADOST,,Flotadores,
,,"Marinone, Belen",,,,RAPTOR,,Fogoneros,
,,Market Self,,,,RIVADAVIA,,Folios,
,,Marvel,,,,ROOTS,,Fundas para Celulares,
,,"Masamitsu, Nigatsu",,,,ROOTS GARDEN,,Gel Refrigerante,
,,"Mcdowell, Michael",,,,ROYAL PADEL,,Goma Eva,
,,"McFadden, Freida",,,,SAN FRANCISCO,,Gomas de Borrar,
,,Michael McDowell,,,,SD,,Gorros de Baño,
,,Mikecrack,,,,SHARPIE,,Herramientas de Jardín,
,,"Mochizuki, Mai",,,,SIMBALL,,Hojas de Ilustración,
,,"Muñoz, Eva",,,,SIMPLE,,Infladores Manuales,
,,"Natsukawa, Sosuke",,,,SIN MARCA,,Insecticidas,
,,Nickelodeon,,,,SITEC,,Jarros,
,,Nik,,,,SORMA,,Juegos de Agua,
,,"Orwell, George",,,,SPALDING,,Juegos Inflables,
,,Papa Francisco,,,,SPOGA,,Juguetes de Playa,
,,"Perez, Ana",,,,STIGA,,Lapiceras,
,,Pilm Plim,,,,SYLVAPEN,,Lapices,
,,"Piñeiro, Claudia",,,,TAPIMOVIL,,Libros,
,,"Poe, Edgar Alan",,,,TERRAFERTIL,,Libros de Actividades,
,,"Redrado, Martin",,,,TRAMONTINA,,Libros de Autoayuda,
,,"Resnik, Pablo",,,,TRIPLE 15,,Libros de Biografías y Memorias,
,,"Reulet, Mariana",,,,TSP,,Libros de Ciencia Ficción,
,,"Rivero, Viviana",,,,UBL,,Libros de Ciencias y Tecnología,
,,"Robbins, Mel",,,,URANO,,Libros de Deportes,
,,Robert Kiyosaki,,,,URB,,Libros de Economía y Finanzas,
,,"Rojas Estapé, Marian",,,,UTIL-OF,,Libros de Fantasía,
,,"Rolon, Gabriel",,,,VERTICE,,Libros de Salud y Bienestar,
,,"Rowling, J.K.",,,,VIOLETTA,,Libros Didácticos,
,,"Saiki, Kumiko",,,,WABRO,,Libros Esotéricos,
,,"Saint Exupery, Antoine",,,,WILSON,,Libros Ilustrados,
,,"Schweblin, Samanta",,,,ZUMMY,,Libros Infantiles,
,,"Seitun, Maritchu",,,,ÉXITO,,Libros Infanto Juveniles,
,,"Sharma, Robin",,,,ÑUKE,,Libros para Colorear,
,,"Siri, Santiago",,,,,,Luncheras,
,,"Stocker, Bram",,,,,,Lápices Corrector,
,,"Tajes, Magali",,,,,,Lápices de Colores,
,,Taylor,,,,,,Lápices Gel,
,,"Thich Nhnat, Hanh",,,,,,Lápices Grafito,
,,Toshikazu Kawaguchi,,,,,,Macetas,
,,"Tracy, Brian",,,,,,Mancuernas,
,,"Traversa, Patricia",,,,,,Mangueras,
,,"Tsuda, Masami",,,,,,Marcadores,
,,Universal,,,,,,Mats de Yoga,
,,"Vallejos, Lyna",,,,,,Mezcladores,
,,Varios,,,,,,Mochila,
,,Varios Autores,,,,,,Mochilas,
,,"Vilaseca, Borja",,,,,,Mochilas con Ruedas,
,,"Walker, Dalia",,,,,,Mochilas Escolares,
